ydata,gpf,re,,,
-3.222547233,0.061507787,3.189077741,,,
-2.68726,0.03144578,3.363001874,,,
-2.244644501,0.016318727,2.653999306,,,
-2.590408909,5.10E-31,3.464740921,,,
-2.705488199,5.08E-31,3.463444602,,,
-3.161297404,1.40E-30,4.488926733,,,
-2.770107261,1.19E-30,3.770178932,,,
-3.506372893,0.036737536,4.306143599,,,
-2.663348138,0.032789373,3.033224709,,,
-2.388048786,0.001233641,3.124861404,,,
-2.74074729,4.07E-31,3.291044544,,,
-3.247268265,0.021616649,3.6178551,,,
-3.412472409,0.030789116,3.780350871,,,
-3.456933065,0.005948315,4.010579601,,,
-4.256116773,0.012776859,4.757267929,,,
-4.131464589,0.014813357,4.784338808,,,
-3.956004871,0.008475483,4.631223238,,,
-4.270335925,0.060021523,4.569217833,,,
-3.757782521,0.079907041,3.377019831,,,
-3.48279669,0.017934033,4.482876851,,,
-2.881646063,0.007613102,4.088704308,,,
-2.412503691,0.01080845,2.888655957,,,
-1.956848645,0.043736817,2.246373321,,,
-3.612134731,0.064918997,1.442291359,,,
-4.074101082,0.003500487,5.416500949,,,
-4.157173398,0.009325024,5.362842622,,,
-4.722283463,0.049614626,5.301824839,,,
-4.180959707,0.002594325,5.390676293,,,
-3.599551886,0.023921126,4.342922629,,,
-2.270653621,0.012795254,3.921950801,,,
-4.409552099,0.10130881,2.785575549,,,
-4.437088397,0.016129258,5.09348979,,,
-3.947992786,0.004492549,4.751610527,,,
-3.996205613,1.06E-30,5.284881321,,,
-3.749619134,0.008943117,4.58287434,,,
-2.873389795,0.020400404,3.999036853,,,
-3.847050222,0.049740255,3.827590955,,,
-3.859906771,0.009809272,4.436396106,,,
-3.263772506,0.009983296,3.746424609,,,
-3.527277627,0.035067892,3.630214792,,,
-4.533181222,0.024030487,4.755111357,,,
-5.438319155,0.029797007,6.395642566,,,
-4.391958774,0.075234855,3.572239712,,,
-4.792554928,0.144946069,1.915625833,,,
-4.531801593,0.081308065,2.602807356,,,
-4.527593966,0.070113791,2.512006004,,,
-3.660004022,0.049703757,3.800615506,,,
-4.128440007,0.015575523,5.488943014,,,
-3.918580003,0.011603766,5.309014796,,,
-2.262210416,0.124652863,2.664162328,,,
-3.198389782,4.54E-31,4.306686673,,,
-2.791821078,6.94E-31,3.892346406,,,
-3.207348762,4.19E-04,4.1241348,,,
-3.1033033,0.004944345,4.187332588,,,
-3.017338754,0.017358517,3.285472311,,,
-4.147776584,3.25E-30,6.305869854,,,
-4.011005754,4.76E-04,5.682497045,,,
-4.145588571,8.59E-31,6.022786851,,,
-4.13792496,1.02E-30,5.574884085,,,
-4.465989103,2.26E-30,6.888879703,,,
-4.154014638,0.002376279,6.462449298,,,
-3.16093712,0.05634038,2.416790727,,,
-2.510983515,8.37E-31,3.736542109,,,
-2.73810854,0.012593209,3.453662657,,,
-2.686624244,0.018377859,3.663394108,,,
-2.230786601,6.85E-31,3.406331095,,,
-2.500543399,0.013801734,3.262621598,,,
-4.337905618,0.002756241,6.183342971,,,
-4.46409875,1.45E-30,5.298508919,,,
-3.513934087,0.006390789,4.693650498,,,
-3.600508992,0.041308681,3.646571988,,,
-2.815200386,0.031756674,3.350555531,,,
-3.872855228,0.022735532,5.535773675,,,
-3.706635053,0.201507767,0,,,
-2.19454487,0.105006981,0.838950177,,,
-2.361194145,0.053914446,2.419652566,,,
-3.151223199,0.064805709,2.20013318,,,
-3.713449902,0.081209541,3.378498832,,,
-3.361288628,0.051957697,4.138290285,,,
-3.334805211,0.051532675,3.95059632,,,
-2.927430152,0.060869554,2.929656859,,,
-2.696759325,0.055680267,2.364556531,,,
-2.621536117,0.047235453,2.484868921,,,
-2.172325321,0.016367127,2.347980353,,,
-2.354452889,0.054800884,1.926812612,,,
-2.464589375,0.063383795,1.967932931,,,
-2.366010361,0.043177076,2.212272537,,,
-2.465569018,0.047930949,2.031081894,,,
-1.863841208,0.041039094,1.205376676,,,
-1.965767735,0.001745627,3.095028011,,,
-1.862218198,7.20E-31,2.926827624,,,
-2.11349099,5.52E-31,3.329452535,,,
-2.337510409,9.37E-31,3.59100707,,,
-2.812321145,0.012667723,3.899677815,,,
-2.597743353,5.25E-31,4.032068682,,,
-3.191937189,0.008605952,4.698198509,,,
-3.022309306,9.75E-31,3.858177108,,,
-2.947009961,5.18E-31,3.664998703,,,
-2.610162132,0.010802768,3.181474869,,,
-1.945552553,0.002850792,2.707371152,,,
-1.916340642,0.005217759,2.673839627,,,
-1.829338486,0.006602373,3.106850367,,,
-2.071591532,0.002445641,3.219663841,,,
-2.432110134,0.001665728,3.586884005,,,
-2.29135478,5.53E-31,3.031923822,,,
-2.484078023,0.008963612,3.517587242,,,
-2.660610141,0.003897622,3.421196561,,,
-2.456313615,0.006476931,3.045819874,,,
-3.098169063,0.009189264,4.555072479,,,
-2.707994382,0.001553311,4.026291212,,,
-2.541696949,0.012298001,4.07572363,,,
-1.871861538,0.034390784,2.656674734,,,
-2.395828163,0.023775281,3.290101425,,,
-2.304500021,0.012854046,2.954896314,,,
-2.452887609,0.020143016,2.813233956,,,
-1.899608512,0.044923829,2.193638179,,,
-1.789090272,4.85E-31,3.144132243,,,
-2.465975925,0.011198823,3.147038828,,,
-2.051782156,0.003488032,2.850012641,,,
-1.636061013,2.14E-31,2.419005472,,,
-1.956154862,0.006294549,2.804688699,,,
-2.067150665,0.00179971,2.893454156,,,
-2.064535287,0.017369404,2.907743307,,,
-2.482137084,0.04570507,3.30485287,,,
-2.251571645,0.00659469,2.89083899,,,
-1.882198265,2.09E-31,2.638266087,,,
-2.321786175,0.001015068,2.514695107,,,
-1.471598359,0.004844746,2.350405417,,,
-0.950352865,0.077347567,1.869759261,,,
-1.246131034,0.032255585,1.914784952,,,
-2.045493732,0.03828102,2.634549872,,,
-1.9736922,0.001634479,2.593135432,,,
-1.874425095,6.91E-04,2.662655859,,,
-1.756948881,0.018821635,1.979641564,,,
-1.234140645,0.003947693,2.446757035,,,
